overall_score_social,state,overall_score_economy,overall_score_health,total_score
17.98728335941532,WY,40.98091647574022,25.920277585145584,28.296159140100375
64.71298562270678,NV,4.639023138900441,31.13889653853011,33.49696843337911
23.696733241611323,WV,53.14222687498417,25.70424643149629,34.181068849363925
38.86409154012647,OK,47.34393685067127,16.692350455761314,34.300126282186355
57.06789711344114,LA,30.066271376093404,18.918792394956743,35.35098696149709
31.95680456291079,GA,63.32106328158062,16.82656331815299,37.36814372088147
29.060662959780316,ND,48.669700531178094,35.72887499598338,37.819746162313926
20.97971545757332,MS,78.34045390933467,15.601668580823516,38.3072793159105
41.75595515861795,PA,35.72684556650157,46.671155759466245,41.384652161528585
32.424332948685745,TN,61.86166661694277,30.638701160790887,41.64156690880647
50.024813691737066,NY,17.45189801403634,58.82408661470839,42.10026610682726
26.059555194973992,AR,81.82305817059992,19.4544175417416,42.44567696910517
57.58526896480777,AL,62.56957738330584,11.653777288489636,43.93620787886775
45.21981658674906,KY,66.5867431137667,20.593596159671,44.133385286728924
64.71920745248045,MI,29.948726789129875,39.47608152441822,44.71467192200951
47.88361356190411,TX,58.92377503463703,30.5777419266892,45.79504350774345
47.841126336422846,SC,60.66519264163127,32.10133085655704,46.86921661153705
54.08670681684062,OH,53.621152279252456,35.758685384660936,47.82218149358467
39.719965780293,WI,53.011957699084974,50.99638045594952,47.909434645109165
24.796051963318057,SD,89.07599851260765,30.75185364239629,48.207968039440665
28.65624103043217,NC,69.32125429462963,55.09197706134703,51.023157462136275
54.78874005995004,MO,66.61546610357809,31.865856752649776,51.0900209720593
45.58883146619237,MT,85.35457289677393,23.120380111395036,51.354594824787114
66.50170430754635,FL,54.8531131887907,32.9330998766303,51.42930579098911
43.21117073699512,AK,33.73457005252046,77.67940196454143,51.54171425135234
50.90757401667062,DE,45.254970959746046,59.33212735166244,51.83155744269303
85.42241857249374,NJ,19.675886622589843,50.43962614876058,51.84597711461472
54.82619886304728,RI,26.955332281569085,76.50341368170773,52.76164827544136
50.0945607367038,KS,70.7777419896064,37.71683316825449,52.86304529818823
67.17513271300395,CT,19.430973640943087,72.03750509095288,52.881203814966646
74.84115374333629,IL,27.84311204429809,57.55840732473838,53.41422437079092
53.77536733467768,AZ,81.31439796096006,29.86865649129964,54.98614059564579
39.77229879389096,ID,86.20448607435699,39.75413385450893,55.24363957425229
49.71717455157355,IA,71.16401144759777,45.09856303391098,55.32658301102743
55.96905189568209,CO,43.27983482270557,66.9199994505058,55.38962872296449
65.46513908930902,NM,52.2498062385142,48.74385604964797,55.48626712582373
61.91627669188816,CA,38.88094410599102,70.2198026710908,57.005674489656656
78.03254768181935,IN,64.3115588715452,28.791262088188244,57.045122880517596
88.7519586084681,HI,0.0153060490723091,83.05077643724064,57.27268036492702
35.01455772045702,NH,52.685320394124325,85.350003716223,57.68329394360145
50.28976130500217,MN,48.28360225537577,78.13945474111067,58.904272767162865
81.63530452597661,MA,23.18411786789394,75.46563951288628,60.095020635585605
53.95420542960713,OR,49.78322203182996,78.76147333695964,60.83296693279891
62.03601536828134,VT,28.647174451462423,98.39485797724345,63.026015932329074
71.41198574969891,VA,50.29669843325482,70.20048429009184,63.969722824348516
48.85977096049455,NE,90.10854242284296,56.36151061881651,65.10994133405134
47.50173676886665,UT,88.89615223238792,61.20526070419358,65.8677165684827
84.52274016403497,MD,41.453863495027335,72.9694429021792,66.31534885374717
56.89495159056109,ME,57.97763791650104,93.40260133656874,69.42506361454362
65.2518331637105,WA,73.14217426139746,79.37141350141977,72.58847364217591
